date,home_team,away_team,home_goals,away_goals,league,season,matchday,result
2011-04-02,Halmstads BK,Kalmar FF,0,0,SE1,2011,1,D
2011-04-03,IFK Norrköping,GAIS,2,0,SE1,2011,1,H
2011-04-03,Syrianska FC,Gefle IF,1,1,SE1,2011,1,D
2011-04-03,Trelleborgs FF,Malmö FF,2,4,SE1,2011,1,A
2011-04-03,Mjällby AIF,Helsingborgs IF,0,1,SE1,2011,1,A
2011-04-04,IFK Göteborg,Örebro SK,0,1,SE1,2011,1,A
2011-04-04,IF Elfsborg,BK Häcken,2,1,SE1,2011,1,H
2011-04-04,Djurgårdens IF,AIK,0,0,SE1,2011,1,D
2011-04-08,Örebro SK,Syrianska FC,1,0,SE1,2011,2,H
2011-04-09,Gefle IF,IFK Norrköping,2,0,SE1,2011,2,H
2011-04-09,GAIS,Trelleborgs FF,4,0,SE1,2011,2,H
2011-04-10,AIK,Mjällby AIF,3,0,SE1,2011,2,H
2011-04-10,BK Häcken,IFK Göteborg,3,1,SE1,2011,2,H
2011-04-11,Kalmar FF,Djurgårdens IF,3,2,SE1,2011,2,H
2011-04-11,Malmö FF,Halmstads BK,3,1,SE1,2011,2,H
2011-04-15,Djurgårdens IF,Malmö FF,0,1,SE1,2011,3,A
2011-04-16,Halmstads BK,GAIS,0,2,SE1,2011,3,A
2011-04-16,Mjällby AIF,Kalmar FF,1,0,SE1,2011,3,H
2011-04-17,Syrianska FC,BK Häcken,1,5,SE1,2011,3,A
2011-04-17,IF Elfsborg,AIK,2,2,SE1,2011,3,D
2011-04-17,Trelleborgs FF,IFK Norrköping,1,2,SE1,2011,3,A
2011-04-18,IFK Göteborg,Helsingborgs IF,1,2,SE1,2011,3,A
2011-04-18,Örebro SK,Gefle IF,2,3,SE1,2011,3,A
2011-04-19,GAIS,Djurgårdens IF,2,1,SE1,2011,4,H
2011-04-20,IFK Norrköping,Halmstads BK,2,0,SE1,2011,4,H
2011-04-20,Kalmar FF,IF Elfsborg,2,1,SE1,2011,4,H
2011-04-20,Malmö FF,Mjällby AIF,1,0,SE1,2011,4,H
2011-04-21,Gefle IF,Trelleborgs FF,1,2,SE1,2011,4,A
2011-04-21,BK Häcken,Örebro SK,1,2,SE1,2011,4,A
2011-04-21,AIK,IFK Göteborg,2,0,SE1,2011,4,H
2011-04-22,Helsingborgs IF,Syrianska FC,1,0,SE1,2011,4,H
2011-04-24,Djurgårdens IF,IFK Norrköping,1,3,SE1,2011,5,A
2011-04-24,Mjällby AIF,GAIS,1,1,SE1,2011,5,D
2011-04-24,IF Elfsborg,Malmö FF,3,0,SE1,2011,5,H
2011-04-24,Halmstads BK,Trelleborgs FF,1,1,SE1,2011,5,D
2011-04-24,BK Häcken,Gefle IF,0,0,SE1,2011,5,D
2011-04-25,Syrianska FC,AIK,3,0,SE1,2011,5,H
2011-04-25,IFK Göteborg,Kalmar FF,2,0,SE1,2011,5,H
2011-04-25,Örebro SK,Helsingborgs IF,1,1,SE1,2011,5,D
2011-04-29,GAIS,IF Elfsborg,0,2,SE1,2011,6,A
2011-04-30,IFK Norrköping,Mjällby AIF,0,3,SE1,2011,6,A
2011-05-01,Trelleborgs FF,Djurgårdens IF,3,2,SE1,2011,6,H
2011-05-01,Kalmar FF,Syrianska FC,2,0,SE1,2011,6,H
2011-05-01,Helsingborgs IF,BK Häcken,1,1,SE1,2011,6,D
2011-05-02,Gefle IF,Halmstads BK,2,1,SE1,2011,6,H
2011-05-02,AIK,Örebro SK,1,0,SE1,2011,6,H
2011-05-02,Malmö FF,IFK Göteborg,0,2,SE1,2011,6,A
2011-05-06,Örebro SK,Kalmar FF,1,2,SE1,2011,7,A
2011-05-07,BK Häcken,AIK,3,1,SE1,2011,7,H
2011-05-07,Djurgårdens IF,Halmstads BK,2,0,SE1,2011,7,H
2011-05-08,Mjällby AIF,Trelleborgs FF,0,1,SE1,2011,7,A
2011-05-08,Syrianska FC,Malmö FF,0,0,SE1,2011,7,D
2011-05-09,IFK Göteborg,GAIS,2,1,SE1,2011,7,H
2011-05-09,IF Elfsborg,IFK Norrköping,2,1,SE1,2011,7,H
2011-05-09,Helsingborgs IF,Gefle IF,3,0,SE1,2011,7,H
2011-05-14,Halmstads BK,Mjällby AIF,1,0,SE1,2011,8,H
2011-05-14,Kalmar FF,BK Häcken,2,0,SE1,2011,8,H
2011-05-15,Gefle IF,Djurgårdens IF,0,0,SE1,2011,8,D
2011-05-15,Malmö FF,Örebro SK,2,1,SE1,2011,8,H
2011-05-15,IFK Norrköping,IFK Göteborg,2,2,SE1,2011,8,D
2011-05-15,GAIS,Syrianska FC,1,0,SE1,2011,8,H
2011-05-16,Trelleborgs FF,IF Elfsborg,3,0,SE1,2011,8,H
2011-05-16,AIK,Helsingborgs IF,2,1,SE1,2011,8,H
2011-05-20,Helsingborgs IF,Kalmar FF,1,0,SE1,2011,9,H
2011-05-20,BK Häcken,Malmö FF,1,1,SE1,2011,9,D
2011-05-21,AIK,Gefle IF,0,2,SE1,2011,9,A
2011-05-21,IFK Göteborg,Trelleborgs FF,1,1,SE1,2011,9,D
2011-05-22,Syrianska FC,IFK Norrköping,3,0,SE1,2011,9,H
2011-05-22,Örebro SK,GAIS,3,1,SE1,2011,9,H
2011-05-23,IF Elfsborg,Halmstads BK,3,2,SE1,2011,9,H
2011-05-23,Mjällby AIF,Djurgårdens IF,3,0,SE1,2011,9,H
2011-05-24,Malmö FF,Helsingborgs IF,0,3,SE1,2011,10,A
2011-05-25,Trelleborgs FF,Syrianska FC,0,1,SE1,2011,10,A
2011-05-25,IFK Norrköping,Örebro SK,0,2,SE1,2011,10,A
2011-05-25,Kalmar FF,AIK,1,0,SE1,2011,10,H
2011-05-26,Djurgårdens IF,IF Elfsborg,0,1,SE1,2011,10,A
2011-05-26,Halmstads BK,IFK Göteborg,1,2,SE1,2011,10,A
2011-05-26,Gefle IF,Mjällby AIF,0,0,SE1,2011,10,D
2011-05-26,GAIS,BK Häcken,1,0,SE1,2011,10,H
2011-06-11,BK Häcken,IFK Norrköping,2,2,SE1,2011,11,D
2011-06-11,Örebro SK,Trelleborgs FF,4,2,SE1,2011,11,H
2011-06-11,Syrianska FC,Halmstads BK,0,0,SE1,2011,11,D
2011-06-11,Kalmar FF,Gefle IF,0,0,SE1,2011,11,D
2011-06-12,IF Elfsborg,Mjällby AIF,4,0,SE1,2011,11,H
2011-06-12,Helsingborgs IF,GAIS,1,1,SE1,2011,11,D
2011-06-12,AIK,Malmö FF,2,0,SE1,2011,11,H
2011-06-13,IFK Göteborg,Djurgårdens IF,0,4,SE1,2011,11,A
2011-06-18,Halmstads BK,Örebro SK,0,0,SE1,2011,12,D
2011-06-18,Gefle IF,IF Elfsborg,1,0,SE1,2011,12,H
2011-06-18,Trelleborgs FF,BK Häcken,1,4,SE1,2011,12,A
2011-06-18,Mjällby AIF,IFK Göteborg,0,2,SE1,2011,12,A
2011-06-19,IFK Norrköping,Helsingborgs IF,0,0,SE1,2011,12,D
2011-06-19,GAIS,AIK,2,0,SE1,2011,12,H
2011-06-20,Djurgårdens IF,Syrianska FC,3,0,SE1,2011,12,H
2011-06-20,Malmö FF,Kalmar FF,2,0,SE1,2011,12,H
2011-06-21,BK Häcken,Halmstads BK,3,1,SE1,2011,13,H
2011-06-22,IFK Göteborg,IF Elfsborg,1,1,SE1,2011,13,D
2011-06-22,AIK,IFK Norrköping,3,0,SE1,2011,13,H
2011-06-23,Syrianska FC,Mjällby AIF,3,1,SE1,2011,13,H
2011-06-23,Örebro SK,Djurgårdens IF,1,2,SE1,2011,13,A
2011-06-23,Helsingborgs IF,Trelleborgs FF,7,3,SE1,2011,13,H
2011-06-23,Kalmar FF,GAIS,2,1,SE1,2011,13,H
2011-06-23,Malmö FF,Gefle IF,0,0,SE1,2011,13,D
2011-06-26,Mjällby AIF,Örebro SK,2,1,SE1,2011,14,H
2011-06-26,GAIS,Malmö FF,2,0,SE1,2011,14,H
2011-06-26,Trelleborgs FF,AIK,1,2,SE1,2011,14,A
2011-06-26,Gefle IF,IFK Göteborg,1,0,SE1,2011,14,H
2011-06-27,IF Elfsborg,Syrianska FC,2,1,SE1,2011,14,H
2011-06-27,Djurgårdens IF,BK Häcken,1,0,SE1,2011,14,H
2011-06-27,Halmstads BK,Helsingborgs IF,1,2,SE1,2011,14,A
2011-07-02,Syrianska FC,IFK Göteborg,1,2,SE1,2011,15,A
2011-07-02,Kalmar FF,Trelleborgs FF,3,2,SE1,2011,15,H
2011-07-02,GAIS,Gefle IF,2,3,SE1,2011,15,A
2011-07-03,Örebro SK,IF Elfsborg,0,3,SE1,2011,15,A
2011-07-03,Malmö FF,IFK Norrköping,2,1,SE1,2011,15,H
2011-07-03,BK Häcken,Mjällby AIF,6,0,SE1,2011,15,H
2011-07-03,Halmstads BK,AIK,1,3,SE1,2011,15,A
2011-07-04,Djurgårdens IF,Helsingborgs IF,1,1,SE1,2011,15,D
2011-07-09,Gefle IF,GAIS,1,3,SE1,2011,16,A
2011-07-09,IFK Norrköping,Malmö FF,0,0,SE1,2011,16,D
2011-07-09,Trelleborgs FF,Kalmar FF,3,2,SE1,2011,16,H
2011-07-10,IFK Göteborg,Syrianska FC,3,0,SE1,2011,16,H
