date,home_team,away_team,home_goals,away_goals,league,season,matchday
09/04/2011,IF Brommapojkarna,Jönköpings Södra IF,1,1,SE2,2011,1
09/04/2011,Östers IF,GIF Sundsvall,2,1,SE2,2011,1
10/04/2011,Qviding FIF,Degerfors IF,0,1,SE2,2011,1
10/04/2011,Ljungskile SK,Falkenbergs FF,0,1,SE2,2011,1
11/04/2011,Västerås SK,Åtvidabergs FF,0,2,SE2,2011,1
11/04/2011,Landskrona BoIS,IFK Värnamo,1,1,SE2,2011,1
11/04/2011,IK Brage,Ängelholms FF,1,4,SE2,2011,1
11/04/2011,Assyriska FF,Hammarby IF,1,0,SE2,2011,1
15/04/2011,GIF Sundsvall,Assyriska FF,1,2,SE2,2011,2
16/04/2011,Jönköpings Södra IF,Västerås SK,5,1,SE2,2011,2
16/04/2011,Åtvidabergs FF,Qviding FIF,4,0,SE2,2011,2
16/04/2011,Degerfors IF,Östers IF,3,3,SE2,2011,2
17/04/2011,Ängelholms FF,IF Brommapojkarna,3,2,SE2,2011,2
17/04/2011,Falkenbergs FF,IK Brage,0,2,SE2,2011,2
17/04/2011,IFK Värnamo,Ljungskile SK,0,2,SE2,2011,2
18/04/2011,Hammarby IF,Landskrona BoIS,2,1,SE2,2011,2
22/04/2011,Åtvidabergs FF,Degerfors IF,1,2,SE2,2011,3
24/04/2011,Assyriska FF,Östers IF,0,0,SE2,2011,3
25/04/2011,Västerås SK,Ängelholms FF,1,2,SE2,2011,3
25/04/2011,IF Brommapojkarna,Falkenbergs FF,2,1,SE2,2011,3
25/04/2011,Ljungskile SK,Hammarby IF,4,1,SE2,2011,3
25/04/2011,IK Brage,IFK Värnamo,2,2,SE2,2011,3
25/04/2011,Qviding FIF,Jönköpings Södra IF,1,1,SE2,2011,3
25/04/2011,Landskrona BoIS,GIF Sundsvall,1,2,SE2,2011,3
29/04/2011,Hammarby IF,IK Brage,1,0,SE2,2011,4
01/05/2011,Falkenbergs FF,Västerås SK,3,4,SE2,2011,4
01/05/2011,IFK Värnamo,IF Brommapojkarna,2,1,SE2,2011,4
02/05/2011,Ängelholms FF,Qviding FIF,0,0,SE2,2011,4
02/05/2011,Östers IF,Landskrona BoIS,2,3,SE2,2011,4
02/05/2011,Jönköpings Södra IF,Åtvidabergs FF,1,0,SE2,2011,4
02/05/2011,GIF Sundsvall,Ljungskile SK,3,0,SE2,2011,4
02/05/2011,Degerfors IF,Assyriska FF,2,3,SE2,2011,4
07/05/2011,IK Brage,GIF Sundsvall,0,0,SE2,2011,5
07/05/2011,Åtvidabergs FF,Ängelholms FF,5,0,SE2,2011,5
