date,home_team,away_team,home_goals,away_goals,league,season,matchday
16/04/2011,Dalkurd FF,Karlstad BK (- 2019),0,1,SE3N,2011,1
16/04/2011,BK Forward,Valsta Syrianska IK (- 2015),2,0,SE3N,2011,1
17/04/2011,FC Väsby United,IFK Luleå,2,0,SE3N,2011,1
17/04/2011,Bodens BK,IK Sirius,0,3,SE3N,2011,1
17/04/2011,Akropolis IF,Umeå FC,0,2,SE3N,2011,1
17/04/2011,Vasalunds IF,IK Frej Täby,2,0,SE3N,2011,1
19/04/2011,Syrianska IF Kerburan,Hammarby TFF,2,1,SE3N,2011,1
24/04/2011,Hammarby TFF,Akropolis IF,0,3,SE3N,2011,2
25/04/2011,IK Sirius,Vasalunds IF,0,2,SE3N,2011,2
25/04/2011,IK Frej Täby,BK Forward,2,3,SE3N,2011,2
25/04/2011,IFK Luleå,Dalkurd FF,1,3,SE3N,2011,2
25/04/2011,Karlstad BK (- 2019),Syrianska IF Kerburan,2,0,SE3N,2011,2
25/04/2011,Valsta Syrianska IK (- 2015),FC Väsby United,2,3,SE3N,2011,2
26/04/2011,Umeå FC,Bodens BK,2,0,SE3N,2011,2
30/04/2011,BK Forward,IK Sirius,2,2,SE3N,2011,3
30/04/2011,Dalkurd FF,Valsta Syrianska IK (- 2015),6,1,SE3N,2011,3
01/05/2011,Bodens BK,Akropolis IF,2,0,SE3N,2011,3
01/05/2011,Syrianska IF Kerburan,IFK Luleå,0,0,SE3N,2011,3
01/05/2011,Karlstad BK (- 2019),Hammarby TFF,3,0,SE3N,2011,3
01/05/2011,Vasalunds IF,Umeå FC,1,2,SE3N,2011,3
02/05/2011,FC Väsby United,IK Frej Täby,3,1,SE3N,2011,3
07/05/2011,Umeå FC,BK Forward,0,0,SE3N,2011,4
07/05/2011,Akropolis IF,Vasalunds IF,1,1,SE3N,2011,4
07/05/2011,IK Frej Täby,Dalkurd FF,1,1,SE3N,2011,4
08/05/2011,IK Sirius,FC Väsby United,0,1,SE3N,2011,4
08/05/2011,IFK Luleå,Karlstad BK (- 2019),0,2,SE3N,2011,4
08/05/2011,Hammarby TFF,Bodens BK,2,0,SE3N,2011,4
09/05/2011,Valsta Syrianska IK (- 2015),Syrianska IF Kerburan,0,1,SE3N,2011,4
14/05/2011,Dalkurd FF,IK Sirius,1,2,SE3N,2011,5
14/05/2011,BK Forward,Akropolis IF,0,0,SE3N,2011,5
15/05/2011,Vasalunds IF,Bodens BK,3,1,SE3N,2011,5
15/05/2011,IFK Luleå,Hammarby TFF,1,0,SE3N,2011,5
15/05/2011,FC Väsby United,Umeå FC,1,1,SE3N,2011,5
15/05/2011,Karlstad BK (- 2019),Valsta Syrianska IK (- 2015),1,2,SE3N,2011,5
15/05/2011,Syrianska IF Kerburan,IK Frej Täby,1,0,SE3N,2011,5
