date,home_team,away_team,home_goals,away_goals,league,season,matchday
14/04/2011,Norrby IF,Husqvarna FF,0,0,SE3S,2011,1
16/04/2011,IK Oddevold,Varbergs BoIS,0,3,SE3S,2011,1
16/04/2011,FC Trollhättan,IK Sleipner,0,2,SE3S,2011,1
16/04/2011,Kristianstads FF,IF Limhamn Bunkeflo,0,0,SE3S,2011,1
16/04/2011,Örgryte IS,Skövde AIK,1,3,SE3S,2011,1
16/04/2011,FC Rosengård,Motala AIF,3,1,SE3S,2011,1
16/04/2011,IF Sylvia,Lunds BK,1,3,SE3S,2011,1
22/04/2011,Husqvarna FF,Kristianstads FF,0,2,SE3S,2011,2
22/04/2011,Varbergs BoIS,IF Sylvia,3,2,SE3S,2011,2
24/04/2011,Lunds BK,FC Rosengård,2,0,SE3S,2011,2
25/04/2011,Skövde AIK,Norrby IF,0,1,SE3S,2011,2
25/04/2011,IF Limhamn Bunkeflo,FC Trollhättan,3,2,SE3S,2011,2
25/04/2011,Motala AIF,Örgryte IS,1,0,SE3S,2011,2
25/04/2011,IK Sleipner,IK Oddevold,1,0,SE3S,2011,2
30/04/2011,FC Rosengård,IF Sylvia,2,1,SE3S,2011,3
01/05/2011,Kristianstads FF,Skövde AIK,3,2,SE3S,2011,3
01/05/2011,IK Oddevold,IF Limhamn Bunkeflo,3,0,SE3S,2011,3
01/05/2011,FC Trollhättan,Husqvarna FF,3,0,SE3S,2011,3
01/05/2011,Norrby IF,Motala AIF,1,0,SE3S,2011,3
01/05/2011,Örgryte IS,Lunds BK,1,1,SE3S,2011,3
01/05/2011,IK Sleipner,Varbergs BoIS,2,2,SE3S,2011,3
07/05/2011,IF Limhamn Bunkeflo,IK Sleipner,2,0,SE3S,2011,4
07/05/2011,Husqvarna FF,IK Oddevold,1,3,SE3S,2011,4
07/05/2011,Varbergs BoIS,FC Rosengård,2,1,SE3S,2011,4
08/05/2011,Lunds BK,Norrby IF,2,0,SE3S,2011,4
08/05/2011,IF Sylvia,Örgryte IS,0,2,SE3S,2011,4
08/05/2011,Motala AIF,Kristianstads FF,0,1,SE3S,2011,4
09/05/2011,Skövde AIK,FC Trollhättan,1,2,SE3S,2011,4
14/05/2011,Örgryte IS,FC Rosengård,1,0,SE3S,2011,5
15/05/2011,IF Limhamn Bunkeflo,Varbergs BoIS,3,2,SE3S,2011,5
15/05/2011,IK Oddevold,Skövde AIK,2,2,SE3S,2011,5
15/05/2011,FC Trollhättan,Motala AIF,2,0,SE3S,2011,5
15/05/2011,Norrby IF,IF Sylvia,2,1,SE3S,2011,5
16/05/2011,Kristianstads FF,Lunds BK,2,2,SE3S,2011,5
16/05/2011,IK Sleipner,Husqvarna FF,3,1,SE3S,2011,5
21/05/2011,FC Rosengård,Norrby IF,2,3,SE3S,2011,6
21/05/2011,Motala AIF,IK Oddevold,1,5,SE3S,2011,6
21/05/2011,Varbergs BoIS,Örgryte IS,0,0,SE3S,2011,6
22/05/2011,Lunds BK,FC Trollhättan,0,1,SE3S,2011,6
22/05/2011,IF Sylvia,Kristianstads FF,0,0,SE3S,2011,6
22/05/2011,Skövde AIK,IK Sleipner,1,2,SE3S,2011,6
22/05/2011,Husqvarna FF,IF Limhamn Bunkeflo,2,0,SE3S,2011,6
28/05/2011,Husqvarna FF,Varbergs BoIS,0,3,SE3S,2011,7
28/05/2011,IF Limhamn Bunkeflo,Skövde AIK,2,2,SE3S,2011,7
29/05/2011,IK Oddevold,Lunds BK,1,2,SE3S,2011,7
29/05/2011,FC Trollhättan,IF Sylvia,2,3,SE3S,2011,7
30/05/2011,Kristianstads FF,FC Rosengård,1,1,SE3S,2011,7
30/05/2011,Norrby IF,Örgryte IS,1,3,SE3S,2011,7
31/05/2011,IK Sleipner,Motala AIF,3,2,SE3S,2011,7
02/06/2011,IF Sylvia,IK Oddevold,4,0,SE3S,2011,8
04/06/2011,Varbergs BoIS,Norrby IF,1,0,SE3S,2011,8
05/06/2011,FC Rosengård,FC Trollhättan,5,2,SE3S,2011,8
05/06/2011,Lunds BK,IK Sleipner,1,1,SE3S,2011,8
06/06/2011,Motala AIF,IF Limhamn Bunkeflo,2,2,SE3S,2011,8
06/06/2011,Skövde AIK,Husqvarna FF,2,0,SE3S,2011,8
06/06/2011,Örgryte IS,Kristianstads FF,1,0,SE3S,2011,8
09/06/2011,IK Sleipner,IF Sylvia,0,5,SE3S,2011,9
11/06/2011,IK Oddevold,FC Rosengård,0,0,SE3S,2011,9
11/06/2011,IF Limhamn Bunkeflo,Lunds BK,0,1,SE3S,2011,9
12/06/2011,Kristianstads FF,Norrby IF,3,2,SE3S,2011,9
12/06/2011,FC Trollhättan,Örgryte IS,3,0,SE3S,2011,9
12/06/2011,Skövde AIK,Varbergs BoIS,0,4,SE3S,2011,9
06/07/2011,Husqvarna FF,Motala AIF,4,2,SE3S,2011,9
18/06/2011,Örgryte IS,IK Oddevold,6,1,SE3S,2011,10
18/06/2011,IF Sylvia,IF Limhamn Bunkeflo,2,0,SE3S,2011,10
18/06/2011,Varbergs BoIS,Kristianstads FF,2,0,SE3S,2011,10
19/06/2011,FC Rosengård,IK Sleipner,2,1,SE3S,2011,10
19/06/2011,Lunds BK,Husqvarna FF,2,0,SE3S,2011,10
19/06/2011,Motala AIF,Skövde AIK,1,2,SE3S,2011,10
20/06/2011,Norrby IF,FC Trollhättan,1,3,SE3S,2011,10
23/06/2011,Husqvarna FF,IF Sylvia,0,1,SE3S,2011,11
26/06/2011,Motala AIF,Varbergs BoIS,1,1,SE3S,2011,11
26/06/2011,FC Trollhättan,Kristianstads FF,2,2,SE3S,2011,11
26/06/2011,Skövde AIK,Lunds BK,1,0,SE3S,2011,11
26/06/2011,IK Sleipner,Örgryte IS,5,2,SE3S,2011,11
27/06/2011,IK Oddevold,Norrby IF,1,3,SE3S,2011,11
27/06/2011,IF Limhamn Bunkeflo,FC Rosengård,0,2,SE3S,2011,11
02/07/2011,Kristianstads FF,IK Oddevold,6,0,SE3S,2011,12
02/07/2011,FC Rosengård,Husqvarna FF,1,1,SE3S,2011,12
02/07/2011,IF Sylvia,Skövde AIK,5,1,SE3S,2011,12
03/07/2011,Örgryte IS,IF Limhamn Bunkeflo,1,1,SE3S,2011,12
03/07/2011,Lunds BK,Motala AIF,2,1,SE3S,2011,12
03/07/2011,Norrby IF,IK Sleipner,6,0,SE3S,2011,12
03/07/2011,Varbergs BoIS,FC Trollhättan,4,2,SE3S,2011,12
09/07/2011,IK Oddevold,FC Trollhättan,3,2,SE3S,2011,13
09/07/2011,Motala AIF,IF Sylvia,1,2,SE3S,2011,13
09/07/2011,Skövde AIK,FC Rosengård,2,1,SE3S,2011,13
09/07/2011,Husqvarna FF,Örgryte IS,1,0,SE3S,2011,13
09/07/2011,IF Limhamn Bunkeflo,Norrby IF,4,3,SE3S,2011,13
10/07/2011,Lunds BK,Varbergs BoIS,0,0,SE3S,2011,13
10/07/2011,IK Sleipner,Kristianstads FF,1,3,SE3S,2011,13
30/07/2011,Kristianstads FF,IK Sleipner,4,0,SE3S,2011,14
30/07/2011,Varbergs BoIS,Lunds BK,2,0,SE3S,2011,14
31/07/2011,FC Rosengård,Skövde AIK,1,2,SE3S,2011,14
31/07/2011,IF Sylvia,Motala AIF,5,0,SE3S,2011,14
31/07/2011,Norrby IF,IF Limhamn Bunkeflo,4,2,SE3S,2011,14
31/07/2011,Örgryte IS,Husqvarna FF,3,0,SE3S,2011,14
01/08/2011,FC Trollhättan,IK Oddevold,1,1,SE3S,2011,14
06/08/2011,IF Limhamn Bunkeflo,Örgryte IS,3,0,SE3S,2011,15
07/08/2011,IK Oddevold,Kristianstads FF,2,2,SE3S,2011,15
07/08/2011,FC Trollhättan,Varbergs BoIS,1,5,SE3S,2011,15
