date,home_team,away_team,home_goals,away_goals,league,season,matchday
01/05/2011,Trelleborgs FF,Djurgårdens IF,3,2,SE1,2011,6
01/05/2011,Kalmar FF,Syrianska FC,2,0,SE1,2011,6
01/05/2011,Helsingborgs IF,BK Häcken,1,1,SE1,2011,6
01/08/2011,Kalmar FF,Mjällby AIF,0,3,SE1,2011,19
01/08/2011,GAIS,Halmstads BK,2,1,SE1,2011,19
01/10/2011,IFK Göteborg,Mjällby AIF,0,1,SE1,2011,28
01/10/2011,AIK,GAIS,2,1,SE1,2011,28
02/04/2011,Halmstads BK,Kalmar FF,0,0,SE1,2011,1
02/05/2011,Gefle IF,Halmstads BK,2,1,SE1,2011,6
02/05/2011,AIK,Örebro SK,1,0,SE1,2011,6
02/05/2011,Malmö FF,IFK Göteborg,0,2,SE1,2011,6
02/07/2011,Syrianska FC,IFK Göteborg,1,2,SE1,2011,15
02/07/2011,Kalmar FF,Trelleborgs FF,3,2,SE1,2011,15
02/07/2011,GAIS,Gefle IF,2,3,SE1,2011,15
02/10/2011,IF Elfsborg,Gefle IF,3,0,SE1,2011,28
02/10/2011,Helsingborgs IF,IFK Norrköping,1,1,SE1,2011,28
02/10/2011,Örebro SK,Halmstads BK,1,0,SE1,2011,28
02/10/2011,BK Häcken,Trelleborgs FF,1,0,SE1,2011,28
02/10/2011,Kalmar FF,Malmö FF,1,2,SE1,2011,28
03/04/2011,IFK Norrköping,GAIS,2,0,SE1,2011,1
03/04/2011,Syrianska FC,Gefle IF,1,1,SE1,2011,1
03/04/2011,Trelleborgs FF,Malmö FF,2,4,SE1,2011,1
03/04/2011,Mjällby AIF,Helsingborgs IF,0,1,SE1,2011,1
03/07/2011,Örebro SK,IF Elfsborg,0,3,SE1,2011,15
03/07/2011,Malmö FF,IFK Norrköping,2,1,SE1,2011,15
03/07/2011,BK Häcken,Mjällby AIF,6,0,SE1,2011,15
03/07/2011,Halmstads BK,AIK,1,3,SE1,2011,15
04/04/2011,IFK Göteborg,Örebro SK,0,1,SE1,2011,1
04/04/2011,IF Elfsborg,BK Häcken,2,1,SE1,2011,1
04/04/2011,Djurgårdens IF,AIK,0,0,SE1,2011,1
04/07/2011,Djurgårdens IF,Helsingborgs IF,1,1,SE1,2011,15
04/08/2011,IFK Göteborg,AIK,3,1,SE1,2011,20
06/05/2011,Örebro SK,Kalmar FF,1,2,SE1,2011,7
06/08/2011,Mjällby AIF,Malmö FF,1,1,SE1,2011,20
06/08/2011,Trelleborgs FF,Gefle IF,2,0,SE1,2011,20
07/05/2011,BK Häcken,AIK,3,1,SE1,2011,7
07/05/2011,Djurgårdens IF,Halmstads BK,2,0,SE1,2011,7
07/08/2011,Syrianska FC,Helsingborgs IF,1,2,SE1,2011,20
07/08/2011,Halmstads BK,IFK Norrköping,5,4,SE1,2011,20
07/08/2011,Örebro SK,BK Häcken,4,0,SE1,2011,20
07/08/2011,IF Elfsborg,Kalmar FF,0,0,SE1,2011,20
07/08/2011,Djurgårdens IF,GAIS,2,2,SE1,2011,20
08/04/2011,Örebro SK,Syrianska FC,1,0,SE1,2011,2
08/05/2011,Mjällby AIF,Trelleborgs FF,0,1,SE1,2011,7
08/05/2011,Syrianska FC,Malmö FF,0,0,SE1,2011,7
08/09/2011,Gefle IF,Malmö FF,2,0,SE1,2011,21
09/04/2011,Gefle IF,IFK Norrköping,2,0,SE1,2011,2
09/04/2011,GAIS,Trelleborgs FF,4,0,SE1,2011,2
09/05/2011,IFK Göteborg,GAIS,2,1,SE1,2011,7
09/05/2011,IF Elfsborg,IFK Norrköping,2,1,SE1,2011,7
09/05/2011,Helsingborgs IF,Gefle IF,3,0,SE1,2011,7
09/07/2011,Gefle IF,GAIS,1,3,SE1,2011,16
09/07/2011,IFK Norrköping,Malmö FF,0,0,SE1,2011,16
